log,fitness_heuristics,precision_heuristics,fscore_heuristics,size_heuristics,pnsize_heuristics,cfc_heuristics,fitness_ilp,precision_ilp,fscore_ilp,size_ilp,pnsize_ilp,cfc_ilp,fitness_imf,precision_imf,fscore_imf,size_imf,pnsize_imf,cfc_imf
2_ense_enve_genELtask_85_07_07,0.355510034247671,0.9505055016444032,0.51747354323988,48.0,28.0,13.0,,,,,,,,,,,,
2_rmcv_rt10v_genELtask_38_03_04,0.117096479831115,0.5127401019208151,0.190652822470773,46.0,29.0,16.0,0.99998321271705,0.485884101040118,0.6539964098646821,51.0,21.0,9.0,0.948058531506299,0.584840055632823,0.723417203148606,53.0,36.0,22.0
2_rt10v_rutpt_genELtask_92_08_03,0.553448813982521,0.482353832172069,0.515461429504232,27.0,2.0,12.0,0.9999728687179172,0.575028126757922,0.7301741740599811,39.0,11.0,12.0,0.954121079554186,0.683627547963718,0.796536712797817,34.0,21.0,13.0
2_ense_enve_genELtask_14_01_02,0.513849454224241,1.0,0.678864668861751,9.0,5.0,2.0,0.9999553538686292,0.9052540913006032,0.950251089194146,12.0,7.0,3.0,0.9999321594502372,1.0,0.999966078574494,14.0,9.0,5.0
2_ense_rt10v_genELtask_21_01_09,0.439765122158905,0.9838318512530312,0.607833456140563,14.0,9.0,6.0,0.9999464729531912,0.6914185139377791,0.817542647158023,19.0,7.0,4.0,0.9999010667301392,0.968225419664268,0.983808344280905,19.0,12.0,9.0
2_enseef_rt10v_genELtask_20_01_08,0.403107621057632,0.995612347009468,0.5738660115837271,20.0,12.0,6.0,0.999973559838885,0.8953963309103491,0.9447999156862832,22.0,13.0,5.0,0.9999537228773212,0.995612347009468,0.9977783125879912,21.0,16.0,6.0
2_enve_rutpt_genELtask_57_05_01,0.7272727272727271,1.0,0.842105263157894,6.0,5.0,0.0,0.999962501406197,1.0,0.999981250351555,16.0,9.0,4.0,0.999950003749718,1.0,0.9999750012499372,12.0,11.0,2.0
2_enve_rt10v_genELtask_90_08_01,0.222222222222222,0.949402480270574,0.360146604113297,59.0,28.0,21.0,,,,,,,,,,,,
2_enve_rt10v_genELtask_88_07_10,0.528845874386026,1.0,0.6918236602475141,6.0,5.0,0.0,,,,,,,0.9999222564581572,0.997746185852981,0.998833035953066,14.0,10.0,5.0
2_rt10v_rutpt_genELtask_91_08_02,0.984592744119528,0.6909480091640321,0.812039211882551,35.0,22.0,22.0,0.9999603921122112,0.396498619700312,0.567840390406966,33.0,11.0,15.0,0.961535152634132,0.6281265964201991,0.7598670636967211,37.0,22.0,20.0
2_ense_enself_genELtask_81_07_03,0.260869565217391,0.956599722803489,0.409945049505911,39.0,27.0,7.0,,,,,,,,,,,,
2_enve_rutpt_genELtask_65_05_09,0.729043111348324,0.6015037593984961,0.659160803547576,34.0,20.0,18.0,0.9999908509528732,0.206679944844492,0.342559138150624,43.0,14.0,11.0,0.9797901201625492,0.221002621231979,0.360655385977178,39.0,28.0,22.0
2_enve_rt10v_genELtask_56_05_00,0.564754460993953,1.0,0.721844193542306,6.0,5.0,0.0,0.9999598925132572,1.0,0.999979945854468,16.0,9.0,4.0,0.999939568466039,1.0,0.9999697833199992,12.0,11.0,2.0
2_ense_rmcv_genELtask_47_04_02,0.704876993006993,0.9093149334647612,0.794149896905968,64.0,39.0,33.0,0.9999752457108292,0.8827395364925631,0.937707286570242,58.0,23.0,16.0,0.9999457747435052,0.835351882160392,0.910268241065006,40.0,28.0,13.0
